CodeCIS;ID_gp_gen
61699593;396
61701717;1373
61703401;19
61703935;949
61704193;1266
61704802;912
61705683;276
61706123;716
61706205;434
61706625;769
61707499;1466
61707595;565
61708715;1276
61709240;777
61709468;1738
61710552;1180
61710919;414
61712279;222
61712585;893
61713210;1094
61715154;1257
61716904;131
61716968;1026
61717034;1640
61720468;675
61721118;1233
61721132;1140
61721627;823
61722191;141
61722572;1228
61726300;1210
61726688;1331
61727174;917
61727306;1113
61729093;1006
61729702;1226
61729741;109
61730964;1235
61730971;939
61732118;292
61732805;845
61733654;1563
61734749;521
61736604;826
61736700;271
61736814;1685
61737211;1286
61737695;551
61738808;497
61740296;1401
61740691;1537
61741918;1295
61743004;1475
61743335;876
61743794;1308
61746541;270
61746783;1377
61748503;1780
61749797;1212
61751079;632
61752722;928
61753678;349
61754342;429
61755914;997
61756877;1088
61759460;1151
61760740;1772
61760765;170
61760943;398
61762531;1052
61763366;642
61763583;859
61763619;56
61765641;527
61766832;495
61767005;1127
61767507;831
61768203;187
61768776;657
61771085;882
61771313;145
61773264;735
61773474;433
61774284;107
61775767;1052
61777273;158
61777782;920
61778521;1259
61779406;798
61780814;142
61782427;724
61782861;265
61783550;302
61784691;1587
61785131;1103
61785366;901
61785626;1313
61786176;480
61786361;1686
61787125;1509
61787869;1286
61788049;436
61788266;1030
61788565;309
61788736;243
61788775;604
61789051;99
61789941;200
61790160;1157
61792923;1411
61794842;150
61794949;1471
61796957;145
61798214;1299
61799519;447
61800640;450
61802470;896
61803711;764
61804539;449
61805185;971
61805662;914
61806173;1587
61807019;1574
61808509;912
61810086;701
61810983;1794
61813890;740
61814540;1414
61815891;1282
61816559;1176
61817344;157
61818407;348
61819530;323
61819669;301
61820358;109
61823226;58
61823589;1397
61823653;846
61823685;1312
61823920;380
61824972;1126
61826304;62
61829268;1259
61830893;917
61831995;345
61832054;230
61833327;1037
61834404;243
61835424;899
61835919;1325
61836184;1511
61836202;1025
61836960;447
61837197;95
61837560;1363
61839636;1422
61841548;1042
61841758;1689
61842034;657
61842358;1710
61842988;941
61843104;276
61843531;1336
61846627;1320
61846762;1118
61848286;122
61848560;332
61849541;1201
61849961;462
61850725;31
61850771;146
61852676;76
61853529;143
61854766;1045
61854951;729
61855583;1289
61855918;1242
61858298;587
61858743;866
61859603;451
61860121;1181
61861910;17
61863085;1213
61864867;934
61868157;378
61868584;1241
61869049;656
61871331;1419
61872287;677
61872390;947
61872472;462
61874594;283
61875707;378
61876289;717
61876780;1370
61878240;938
61881382;1584
61881699;1654
61881763;329
61883586;434
61883604;613
61884211;227
61885224;280
61885402;95
61885726;941
61891533;593
61892119;813
61892368;1583
61892457;1313
61893438;784
61893655;562
61894006;1415
61897454;1127
61897671;448
61897792;1407
61901618;177
61901995;1051
61902218;1713
61904023;387
61904144;1751
61904596;653
61904639;827
61905997;1257
61907012;1470
61907293;1345
61907585;1032
61911861;1249
61912415;192
61912664;1414
61913385;496
61913912;1340
61917992;802
61920248;1061
61923059;532
61923187;1547
61923511;380
61924047;1395
61924200;498
61924474;460
61925708;797
61926087;83
61926913;168
61927417;1012
61928896;864
61928914;639
61929560;832
61931796;1106
61932026;187
61935264;782
61935346;1051
61937888;862
61937984;1627
61938189;57
61938997;1319
61939017;851
61939921;467
61940966;641
61941057;668
61942084;326
61942561;595
61942668;389
61943898;415
61943930;617
61943948;865
61945162;79
61945753;382
61946531;621
61949239;326
61950693;1713
61951496;1422
61952274;1708
61952527;1372
61954108;1772
61954421;1253
61954695;436
61955523;1575
61955644;1179
61955936;1592
61956187;282
61956276;981
61956290;1254
61956319;1027
61957549;748
61958462;1748
61958697;197
61958918;794
61959735;1800
61960118;846
61961476;200
61964013;1052
61964472;273
61966605;888
61967205;389
61972227;27
61972234;1631
61976243;928
61979766;283
61983832;1283
61985349;566
61989835;595
61990606;221
61992169;1214
61994056;893
61996139;802
61998282;1250
61999270;508
62000092;395
62003590;130
62005883;309
62005890;1100
62006750;883
62007051;1119
62007667;784
62008580;1176
62008826;1051
62009928;1617
62010414;1669
62011103;49
62013467;224
62015062;1461
62015977;1147
62016239;106
62018464;595
62018514;1268
62019370;915
62022046;1137
62022480;113
62022612;703
62022861;79
62024403;881
62025327;1326
62025626;1308
62026621;531
62026945;1336
62027794;927
62027883;156
62028825;1219
62028953;129
62029749;1020
62031077;884
62031593;1039
62033904;197
62034116;924
62034803;1402
62034970;615
62035912;117
62036633;473
62038157;58
62038794;187
62039483;911
62039768;102
62042102;468
62043026;747
62044256;929
62044434;863
62044509;1789
62045486;99
62046798;380
62047793;221
62047925;914
62048087;275
62048799;1416
62050519;734
62050526;1638
62051172;1461
62051838;1748
62053006;1025
62058327;245
62059468;527
62059557;754
62061889;189
62061907;354
62062457;1435
62064020;1525
62066676;713
62066822;17
62067536;1019
62067696;1106
62069124;172
62069359;1797
62071253;283
62071381;968
62071552;1262
62073667;1786
62075038;123
62075255;1146
62076065;872
62076503;1563
62077847;512
62078187;657
62078365;1659
62079531;699
62079905;121
62080334;1380
62080626;794
62080918;1269
62089059;1533
62090524;1243
62091544;310
62091971;1452
62094280;913
62096096;213
62096139;81
62096228;1330
62096413;324
62097102;972
62098492;109
62105823;1689
62105830;1411
62106380;413
62107482;604
62110699;1645
62111790;1182
62112248;14
62113300;177
62113318;701
62113528;874
62118226;1574
62118322;848
62120177;780
62121489;116
62121667;762
62121674;852
62124275;485
62126664;1401
62127307;300
62127360;60
62128302;617
62128430;1521
62129112;1013
62129151;1695
62129781;307
62129870;85
62129888;629
62130958;1131
62132158;480
62134458;103
62134839;971
62135072;506
62135510;971
62137575;1227
62139010;852
62139195;78
62140055;1562
62142469;1469
