CodeCIS;Code_substance
68666553;251
69135192;251
69880154;251
60177628;252
60763790;252
61276928;252
63402119;252
63529999;252
64066251;252
66870226;252
67042889;252
67339449;252
67561492;252
67690537;252
67967201;252
60014894;258
60126612;258
60202031;258
60545343;258
60600074;258
60704500;258
60945191;258
61054685;258
61142295;258
61359427;258
62459811;258
62718801;258
62782070;258
62961109;258
63153582;258
63904029;258
64804042;258
65183859;258
65578226;258
67220669;258
67561492;258
67777668;258
67892841;258
67908039;258
68438891;258
68761542;258
69376994;258
60905955;263
61388877;263
61869501;263
63849650;263
65935062;263
66312972;263
66816538;263
67960089;263
69341484;263
69466776;263
60379544;264
61285788;264
65387616;264
66238671;264
66377201;264
67900409;264
68401010;264
69806741;264
60177628;265
60380201;265
60945191;265
61059636;265
61142295;265
62079225;265
62459811;265
63402119;265
63664299;265
64130608;265
67013695;265
67690537;265
67892841;265
67967201;265
68761542;265
68789050;265
69088885;265
69145934;265
61356349;266
60202031;267
61951635;267
65183859;267
65935062;267
65981743;267
66674188;267
66816538;267
67273294;267
68543102;267
68829541;267
68936600;267
69636666;267
69919810;267
61356349;268
61276928;269
62862118;269
69126040;269
69565895;269
62000612;280
62048906;280
68502148;280
68362550;291
69210264;293
65504674;294
61684869;297
61786735;297
61960303;297
61983743;297
62201138;297
62427265;297
62868498;297
63183821;297
63740918;297
64743130;297
66032721;297
66534581;297
67592324;297
67972077;297
69063120;297
69667989;297
68037368;304
61386381;312
